Artist,Label
Serena Ryder,Universal
Baba Saad,Universal
Sagarika,Universal
Saber Rebaï,Universal
Kyu Sakamoto,Universal
Mark Salling,Universal
Samved,Universal
Marta Sánchez,Universal
Jessica Sanchez,Universal
Sandy,Universal
Sandy & Júnior,Universal
Ivete Sangalo,Universal
Juelz Santana,Universal
Lulu Santos,Universal
Nico Santos,Universal
Michael Sarver,Universal
Joe Satriani,Universal
The Saturdays,Universal
Satyricon,Universal
Tiwa Savage,Universal
Saving Grace,Universal
Nicole Scherzinger,Universal
Scooter,Universal
Scorpions,Universal
Lil Scrappy,Universal
Jay Sean,Universal
Seeb,Universal
Seether,Universal
Raul Seixas,Universal
Serebro,Universal
Secret Number,Universal
Karol Sevilla,Universal
Shaan,Universal
Shaggy,Universal
Shakira,Universal
Tupac Shakur,Universal
Shareefa,Universal
Shatha Hassoun,Universal
Ringo Sheena,Universal
Ashton Shepherd,Universal
Rabbi Shergill,Universal
Sherine,Universal
SHINee,Universal
Shontelle,Universal
Show-Ya,Universal
Sia,Universal
Sigma,Universal
Krista Siegfrids,Universal
Sigrid,Universal
Silentó,Universal
Sarah Silverman,Universal
Ashlee Simpson,Universal
Jessica Simpson,Universal
Frank Sinatra,Universal
Bob Sinclar,Universal
Sister Soleil,Universal
Simone & Simaria,Universal
Simple Minds,Universal
Simple Plan,Universal
Siti Nurhaliza,Universal
Troye Sivan,Universal
Smile.dk,Universal
Slash,Universal
Slayer,Universal
Slick Rick,Universal
Smash Mouth,Universal
Dan Smith,Universal
Faryl Smith,Universal
Sam Smith,Universal
Patty Smyth,Universal
Snoop Dogg,Universal
Snow Patrol,Universal
Sodagreen,Universal
Sauti Sol,Universal
Stella Soleil,Universal
Dtidrik Solli-Tangenh,Universal
Martin Solveig,Universal
Jeon So-mi,Universal
Sonata Arctica,Universal
Luísa Sonza,Universal
Soraya,Universal
Takashi Sorimachi,Universal
Soulja Boy,Universal
Spandau Ballet,Universal
Dusty Springfield,Universal
Sugarland,Universal
Space Cowboy,Universal
Spice Girls,Universal
Spose,Universal
Rae Sremmurd,Universal
Vince Staples,Universal
Chris Stapleton,Universal
Ringo Starr,Universal
Sting,Universal
Street Drum Corps,Universal
Steel Panther,Universal
Gwen Stefani,Universal
Hailee Steinfeld,Universal
Rod Stewart,Universal
George Strait,Universal
Stromae,Universal
Barrett Strong,Universal
Tinchy Stryder,Universal
Stryper,Universal
The Stunners,Universal
Sum 41,Universal
Stefanie Sun,Universal
Chay Suede,Universal
Donna Summer,Universal
Super Junior,Universal
Super Monkey's,Universal
Supertramp,Universal
Svoy,Universal
Taylor Swift,Universal
SZA,Universal
t.A.T.u.,Universal
T-ara,Universal
Junnosuke Taguchi,Universal
Yukihiro Takahashi,Universal
Take That,Universal
Alan Tam,Universal
Nami Tamaki,Universal
Tamta,Universal
Eriko Tamura,Universal
Tarja,Universal
Tataloo,Universal
Amir Tataloo,Universal
Teyana Taylor,Universal
Tears for Fears,Universal
Ryan Tedder,Universal
Teresa Teng,Universal
Thirty Seconds to Mars,Universal
Tiara Andini,Universal
Tiësto,Universal
Tihuana,Universal
TM88,Universal
Tokio Hotel,Universal
Tom Tom Club,Universal
Rie Tomosaka,Universal
Toquinho,Universal
T'Pau,Universal
The Tragically Hip,Universal
Malu Trevejo,Universal
Testament,Universal
Treat,Universal
Neon Trees,Universal
Gloria Trevi,Universal
Tri.be,Universal
Ms. Triniti,Universal
Josh Turner,Universal
TV on the Radio,Universal
Shania Twain,Universal
Twelve Girls Band,Universal
TWICE,Universal
Lil Twist,Universal
Conway Twitty,Universal
TXT,Universal
Tyga,Universal
TYP,Universal
U2,Universal
U-God,Universal
Ultrabeat,Universal
Carrie Underwood,Universal
Unladylike,Universal
Keith Urban,Universal
Legião Urbana,Universal
Utada Hikaru,Universal
Vacca,Universal
The Vamps,Universal
Armin van Buuren,Universal
Sepultura,Universal
Vangelis,Universal
Van Halen,Universal
Virginia to Vegas,Universal
The Veer Union,Universal
Venom,Universal
Vitamin Z,Universal
Vixen,Universal
Volbeat,Universal
Wale,Universal
Sebastian Walldén,Universal
Joe Walsh,Universal
Cyndi Wang,Universal
Wang Chung,Universal
The Wanted,Universal
Wa,Universal
Lil Wayne,Universal
The Weeknd,Universal
Weezer,Universal
Jannine Weigel,Universal
Florence Welch,Universal
Kanye West,Universal
Weiland,Universal
Westlife,Universal
Eric Whitacre,Universal
Barry White,Universal
Whitesnake,Universal
The Who,Universal
Jane Wiedlin,Universal
The Wiggles,Universal
Kim Wilde,Universal
Wisin & Yandel,Universal
Wolfmother,Universal
Lee Ann Womack,Universal
Stevie Wonder,Universal
Holly Williams,Universal
Robbie Williams,Universal
Vanessa Williams,Universal
will.i.am,Universal
Wilson Phillips,Universal
Amy Winehouse,Universal
Steve Winwood,Universal
Within Temptation,Universal
Wonder Girls,Universal
Joe Wong,Universal
Evan Rachel Wood,Universal
Wu Bai,Universal
Fang Wu,Universal
Kris Wu,Universal
Vanilla Ice,Universal
Vanness Wu,Universal
Wu Yingyin,Universal
Babi Xavier,Universal
Xonia,Universal
U2,Universal
Xuxa,Universal
Yao Lee,Universal
Lil Yachty,Universal
Yoshiko Yamaguchi,Universal
Yazz,Universal
Yeah Yeah Yeahs,Universal
Years & Years,Universal
Yelle,Universal
Yellow Magic Orchestra,Universal
Yohio,Universal
Your Favorite Martian,Universal
Saori Yuki,Universal
Yung L.A.,Universal
Maher Zain,Universal
Zendaya,Universal
Zhou Xuan,Universal
Joana Zimmer,Universal
Rob Zombie,Universal
Zucchero,Universal
