Artist,Label
Timbo King,Sony
Tina Moore,Sony
Tina Turner,Sony
Tish,Sony
Tiwa Savage,Sony
Tommy Puett,Sony
Tommy Tutone,Sony
Toni Braxton,Sony
Tonight Alive,Sony
Tony Bennett,Sony
Tori Amos,Sony
Toto,Sony
Tove Styrke,Sony
Train,Sony
Trainwreck,Sony
Travis Scott,Sony
Trey Parker,Sony
A Tribe Called Quest,Sony
Tupac Shakur,Sony
Tung Twista,Sony
Turma do Balão Mágico,Sony
Twice,Sony
"Tyler, The Creator",Sony
Tyler Ward,Sony
Tyler Shaw,Sony
Usher,Sony
Union J,Sony
U-KISS,Sony
Udit Narayan,Sony
Vagetoz,Sony
Vampire Weekend,Sony
Vamps,Sony
Vangelis,Sony
Vania Larissa,Sony
Vanness Wu,Sony
Vazquez Sounds,Sony
Víctor Manuelle,Sony
Virginia Maestro,Sony
VL Mike,Sony
Velvet Revolver,Sony
Victoria Justice,Sony
Violetta Zironi,Sony
Wanessa,Sony
Walk Off the Earth,Sony
Walk the Moon,Sony
Wang Chung,Sony
Wang Leehom,Sony
"""Weird Al"" Yankovic",Sony
Westlife,Sony
Wham!,Sony
Whitney Houston,Sony
Will Smith,Sony
will.i.am,Sony
William Ackerman,Sony
William Warfield,Sony
Willow Smith,Sony
Wings,Sony
Within Temptation,Sony
Will Young,Sony
Wizkid,Sony
Wiz Khalifa,Sony
Wu-Tang Clan,Sony
The X-Ecutioners,Sony
XO-IX,Sony
Xuxa,Sony
Xzibit,Sony
Yashin,Sony
The Yellow Diary[10],Sony
Yellow Magic Orchestra,Sony
Yiruma,Sony
Yovie & Nuno,Sony
Yui,Sony
Yuridia,Sony
Yo Gotti,Sony
Yuvan Shankar Raja,Sony
Young Dubliners,Sony
Young Pharoz,Sony
Yvette Michele,Sony
Zoboomafoo,Sony
Zarema,Sony
Zendaya,Sony
Zara Larsson,Sony
Zayn,Sony
Zé Ramalho,Sony
Zezé Di Camargo & Luciano,Sony
